model,domain,accuracy,f1_macro,f1_fake,f1_nuanced,f1_real
LR,in-domain (LIAR),0.5375,0.5442,0.6465,0.4705,0.5156
LR,out-of-domain (WELFake),0.0676,0.0682,0.0,0.0,0.2045
RF,in-domain (LIAR),0.5651,0.5697,0.6431,0.4874,0.5786
RF,out-of-domain (WELFake),0.5,0.3333,0.0,0.0,0.6667
XGBoost,in-domain (LIAR),0.5556,0.5577,0.6239,0.4824,0.5668
XGBoost,out-of-domain (WELFake),0.5001,0.3339,0.0012,0.0,0.6666
RF texte seul,in-domain (LIAR),0.4428,0.43,0.3584,0.4082,0.5233
RF texte seul,out-of-domain (WELFake),0.1943,0.1819,0.2703,0.0,0.2752
